Accor corporate;http://www.facebook.com/Accor;Accor;Accor;;Hôtellerie;CAC 40;FR;Institutionnel
Accor hôtel;http://www.facebook.com/accorhotels;accorhotels;Accor;;Hôtellerie;CAC 40;FR;B2C
Alcatel-Lucent;http://www.facebook.com/pages/Alcatel-Lucent/22180590462;Alcatel-Lucent/22180590462;Alcatel-Lucent;;Télécommunications;CAC 40;FR;Institutionnel
Alstom;http://www.facebook.com/ALSTOM;ALSTOM;Alstom;;Transport et énergie;CAC 40;FR;Institutionnel
BNP Paribas B2C;http://fr-fr.facebook.com/bnpparibas.net;bnpparibas.net;BNP Paribas;;Banque;CAC 40;FR;B2C
BNP Paribas Master;http://fr-fr.facebook.com/BNPPARIBASMASTERS;BNPPARIBASMASTERS;BNP Paribas;;Banque;CAC 40;FR;Sponsoring
Bouygues Télécom;http://fr-fr.facebook.com/bouyguestelecom;bouyguestelecom;Bouygues ;Telecom;;CAC 40;FR;B2C
Bouygues Construction;http://fr-fr.facebook.com/Bouygues.Construction;Bouygues.Construction;Bouygues ;Construction;;CAC 40;FR;Institutionnel
Capgemini France;http://fr-fr.facebook.com/capgeminifrance;capgeminifrance;Cap Gemini;;Services informatiques;CAC 40;FR;Institutionnel
Capgemini Consulting;http://fr-fr.facebook.com/capgemini.consulting;capgemini.consulting;Cap Gemini;Consulting;Conseil;CAC 40;FR;Institutionnel
Crédit Agricole B2C;http://fr-fr.facebook.com/CreditAgricole;CreditAgricole;Crédit agricole;;Banque;CAC 40;FR;B2C
Danone et vous;http://fr-fr.facebook.com/danoneetvous;danoneetvous;Danone;;Agroalimentaire;CAC 40;FR;B2C
Danone RH;http://fr-fr.facebook.com/DanoneJobs;DanoneJobs;Danone;;Agroalimentaire;CAC 40;FR;RH
Danone communities;http://www.facebook.com/danone.communities;danone.communities;Danone;;Agroalimentaire;CAC 40;FR;Fondation
EDF institutionnel;http://fr-fr.facebook.com/edf;edf;EDF;;Énergie;CAC 40;FR;Institutionnel
Team EDF;http://fr-fr.facebook.com/teamedf;teamedf;EDF;;Énergie;CAC 40;FR;Sponsoring
Open EDF;http://fr-fr.facebook.com/openedf;openedf;EDF;;Énergie;CAC 40;FR;Sponsoring
EDF actionnaires;http://fr-fr.facebook.com/pages/Actionnaires-EDF-page-officielle/162378927140658;Actionnaires-EDF-page-officielle/162378927140658;EDF;;Énergie;CAC 40;FR;Finance
Essilor;http://www.facebook.com/pages/Essilor/88196063119;pages/Essilor/88196063119;Essilor International;;Optique;CAC 40;FR;Institutionnel
Total Hub;http://www.facebook.com/Total;Total;Total;;Pétrole;CAC 40;FR;Institutionnel
Exxon;;;Exxon Mobil;;Pétrole;DJ;US;
Chevron;http://www.facebook.com/Chevron;Chevron;Chevron;;Pétrole;DJ;US;Institutionnel
Petrobras;http://www.facebook.com/fanpagepetrobras;fanpagepetrobras;Petrobras;;Pétrole;;Brs;Institutionnel
BP crise;http://www.facebook.com/BPAmerica;BPAmerica;BP;;Pétrole;;UK;Crise
Shell;http://www.facebook.com/Shell;Shell;Shell;;Pétrole;;UK;Institutionnel
Orange monde;http://www.facebook.com/orange;orange;France Télécom;;Télécommunications;CAC 40;FR;Institutionnel
Orange France;http://www.facebook.com/Orange.France;Orange.France;France Télécom;;Télécommunications;CAC 40;FR;B2C
GDF Suez;http://www.facebook.com/gdfsuez;gdfsuez;GDF Suez;;Énergie;CAC 40;FR;Institutionnel
Lafarge;http://www.facebook.com/Lafarge;Lafarge;Lafarge SA;;Ciment;CAC 40;FR;Institutionnel
LVMH;https://www.facebook.com/lvmh;lvmh;LVMH;;Luxe;CAC 40;FR;Institutionnel
Peugeot;http://www.facebook.com/Peugeot;Peugeot;Peugeot;;Automobile;CAC 40;FR;B2C
Renault;http://www.facebook.com/renault;renault;Renault;;Automobile;CAC 40;FR;B2C
Safran;http://www.facebook.com/GroupeSafran;GroupeSafran;Safran;;Aéronautique;CAC 40;FR;Institutionnel
Saint-Gobain;http://www.facebook.com/saintgobaingroup;saintgobaingroup;Saint-Gobain;;Matériaux de construction, Verre;CAC 40;FR;Institutionnel
Schneider Electric France;http://fr-fr.facebook.com/SchneiderElectricFrance;SchneiderElectricFrance;Schneider Electric;;Matériel électrique;CAC 40;FR;Institutionnel
Société Générale Par Amour du Rugby;http://www.facebook.com/Paramourdurugby;Paramourdurugby;Société générale;;Banque;CAC 40;FR;Sponsoring
Alcoa;http://www.facebook.com/alcoa;alcoa;Alcoa;;Aluminium;DJ;US;Institutionnel
3M RH;http://www.facebook.com/3MCareers.US?v=box_3;3MCareers.US?v=box_3;3M;;chimie, électronique et entretien;DJ;US;RH
American Express;http://www.facebook.com/americanexpress;americanexpress;American Express;;Services financiers;DJ;US;Institutionnel
AT&T B2C;http://www.facebook.com/ATT;ATT;AT&T;;Télécommunications;DJ;US;B2C
Bank of America Building Opportunities;http://www.facebook.com/BuildingOpportunity;BuildingOpportunity;Bank Of America Inc.;;Banque;DJ;US;Institutionnel
Caterpillar;https://www.facebook.com/caterpillar;caterpillar;Caterpillar;;Matériel de chantier;DJ;US;Institutionnel
